ABL;AirBC;AIRCOACH;Armenia;EVN
GGN;AirGeorgian;GEORGIAN;Austria;GRZ
AWI;AirWisconsin;WISCONSIN;Austria;INN
AMW;AirMidwest;AIRMIDWEST;Austria;KLU
HCY;HeliosAirways;HELIOS;Austria;LNZ
AWC;TitanAirways;ZAP;Austria;SZG
AWC;TitanAirways;ZAP;Austria;VIE
AZI;AzzurraAir;AZZURRA;Azerbaijan;GYD
SMY;SamaAirlines;NAJIM;Belarus;MSQ
MNE;AirMontenegro;MOUNTEAGLE;Belgium;ANR
AZP;AmaszonasParaguay;GUARANI;Belgium;BRU
AZQ;SilkWayAirlines;SILKLINE;Belgium;CRL
KEY;KeyAirlines;KEYAIR;Belgium;LGG
RXA;RegionalExpress;REX;Belgium;OST
GLA;GreatLakesAirlines;LAKESAIR;BosniaandHerzegovina;SJJ
AAF;AigleAzur;AIGLEAZUR;BosniaandHerzegovina;TZL
CSZ;ShenzhenAirlines;SHENZHENAIR;Bulgaria;BOJ
VVM;VivaMacau;JACKPOT;Bulgaria;SOF
TZT;ZIPAIRTokyo;ZIPPY;Bulgaria;VAR
AZE;Arcus-AirLogistic;ARCUSAIR;Croatia;DBV
ESR;EastarJet;EASTAR;Croatia;PUY
LCD;L?neasA?reasAzteca;LINEASAZTECA;Croatia;SPU
EWR;EwaAir;MAYOTTEAIR;Croatia;ZAD
ABN;AirAlbania;AIRALBANIA;Croatia;ZAG
BUB;AirBourbon;BOURBON;Cyprus;LCA
MON;MonarchAirlines;MONARCH;Cyprus;PFO
CYD;AccessAir;CYCLONE;CzechRepublic;BRQ
SUW;InteraviaAirlines;ASTAIR;CzechRepublic;PRG
MYM;MYAirline;MYAIR;Denmark;AAL
AZN;L?neaA?reaAmaszonas;;Denmark;AAR
ADK;ADCAirlines;ADCO;Denmark;BLL
UDN;Dniproavia;DNIEPRO;Denmark;CPH
GMG;GMGAirlines;GMG;Denmark;FAE
OOM;ZoomAirlines;ZOOM;Estonia;TLL
SMJ;AvientAviation;AVAVIA;Finland;HEL
EZD;PhilippinesAirAsia;REDHOT;Finland;OUL
MEP;MidwestAirlines;MIDEX;Finland;RVN
ANE;AirNostrum;AIRNOSTRUM;Finland;TMP
ASH;MesaAirlines;AIRSHUTTLE;Finland;TKU
ADM;Dominair;DOMINAIR;Finland;VAA
TGA;AirTogo;AIRTOGO;France;AJA
NYT;YetiAirlines;YETIAIRLINES;France;BIA
RAE;R?gional;REGIONALEUROPE;France;EGC
LCT;TARAerolineas;TAR;France;BIQ
MGX;MontenegroAirlines;MONTENEGRO;France;BOD
LLM;YamalAirlines;YAMAL;France;BES
KYV;CyprusTurkishAirlines;AIRKIBRIS;France;FSC
RSI;AirSunshine;AIRSUNSHINE;France;LIL
WCW;WestCaribbeanAirways;WEST;France;LYS
ACQ;AryanCargoExpress;;France;MRS
CAT;CologneAirTransportGmbH;;France;MPL
BRJ;Borajet;BORAJET;France;NTE
IRK;KishAir;KISHAIR;France;NCE
DAT;LynxAir;DAUNTLESS;France;BVA
YZR;YangtzeRiverExpress;YANGTZERIVER;France;CDG
TYA;NordStar;TAIMYR;France;ORY
BTV;BataviaAir;BATAVIA;France;SXB
GMR;GoldenMyanmarAirlines;GOLDENMYANMAR;France;RNS
PCE;PaceAirlines;PACE;France;RUN
VOI;Volaris;VOLARIS;France;TLN
AFJ;AllianceAir;JAMBO;France;TLS
GSM;Flyglobespan;GLOBESPAN;Georgia;KUT
EMJ;YellowAirTaxi/FriendshipAirways;;Georgia;TBS
KNE;Flynas;NASEXPRESS;Germany;FMM
NCT;NokScoot;BIGBIRD;Germany;BER
AXL;AirExel;EXELCOMMUTER;Germany;SXF
SKT;SkyStarAirways;SKYYOU;Germany;TXL
SIT;SITA;;Germany;BRE
SXS;SunExpress;SUNEXPRESS;Germany;CGN
CXP;XtraAirways;CASINOEXPRESS;Germany;DTM
CXH;ChinaXinhuaAirlines;XINHUA;Germany;DRS
LTE;LTEInternationalAirways;FUNJET;Germany;DUS
XAR;XpressAir;XPRESS;Germany;FRA
XME;AustralianairExpress;AUS-CARGO;Germany;HHN
;J-Air;JAIR;Germany;FDH
LNE;Aerolane;AEROLANE;Germany;HAM
CCM;AirCorsica;CORSICA;Germany;HAJ
CCM;CorseM?diterran?e;CORSICA;Germany;FKB
MES;MesabaAirlines;MESABA;Germany;LEJ
TAX;ThaiAirAsiaX;EXPRESSWING;Germany;MUC
CLI;Clickair;CLICKJET;Germany;FMO
SXD;SunexpressDeutschland;SUNRISE;Germany;NUE
VLK;VladivostokAir;VLADAIR;Germany;PAD
JSX;JSX(airline);BIGSTRIPE;Germany;STR
CAI;CorendonAirlines;CORENDON;Germany;NRN
KHO;KhorsAircompany;AIRCOMPANYKHORS;Greece;ATH
NVD;AvionExpress;NORDVIND;Greece;HER
CHF;Chitaavia;CHITA;Greece;KGS
HLX;Hapag-LloydExpress;YELLOWCAB;Greece;JMK
TUI;TUIflyDeutschland;TUIJET;Greece;RHO
WSF;WestAfricanAirlines;;Greece;JTR
OMA;OmanAir;OMANAIR;Greece;SKG
BCY;CityJet;CITYJET;Greece;ZTH
BCY;CityJet;CITY-IRELAND;Hungary;BUD
BMI;Bmibaby;BABY;Hungary;DEB
WOW;WOWair;WOWair;Iceland;KEF
SWV;SweFly;FLYINGSWEDE;Ireland;ORK
WSG;WasayaAirways;WASAYA;Ireland;DUB
WJA;WestJet;WESTJET;Ireland;NOC
HRH;RoyalTonganAirlines;TONGAROYAL;Ireland;KIR
WEN;WestJetEncore;ENCORE;Ireland;SNN
SWQ;SwiftAir(InterstateEquipmentLeasing);SWIFTFLIGHT;Italy;AHO
ATW;AirAntwerp;DEVIL;Italy;AOI
WSW;Swoop;SWOOP;Italy;BRI
WOA;WorldAirways;WORLD;Italy;BGY
SWA;SouthwestAirlines;SOUTHWEST;Italy;BLQ
WLS;AirWalesVirtual;WALES;Italy;BDS
AFB;AmericanFalcon;AMERICANFALCON;Italy;CAG
EDW;EdelweissAir;EDELWEISS;Italy;CTA
WigginsAirways;WIGGINSAIRWAYS;UnitedStates;Italy;CIY
WIL;AeroAir;WILLIAMETTE;Italy;FLR
CNW;ChinaNorthwestAirlines;CHINANORTHWEST;Italy;GOA
WEB;WebJetLinhasA?reas;WEB-BRASIL;Italy;SUF
SWG;SunwingAirlines;SUNWING;Italy;LIN
WIF;Wider?e;WIDEROE;Ukraine;HRK
THD;ThaiSmileAirways;THAISMILE;Ukraine;IEV
AAN;AmsterdamAirlines;AMSTEL;Ukraine;LWO
DSR;DASAirCargo;DAIRAIR;Ukraine;ODS
MWM;ModernTransporteAereoDeCarga;MODERNAIR;Italy;PSR
